5000 3598
1 1852 53
1852 2288 92
1 3049 69
3049 3139 93
1852 214 20
3049 806 20
3139 2908 47
3049 1842 66
3049 3996 89
3139 3688 34
3688 3636 78
1852 4253 18
3139 4020 30
2908 4149 34
1 363 10
2908 410 9
3636 1736 43
3636 3332 73
2908 1203 99
1 267 34
1203 2237 56
1 2594 77
1842 3413 19
3139 2779 100
2908 727 61
3996 2327 68
2237 4562 92
2288 3910 38
3996 3669 5
2908 126 93
4020 4830 99
4253 358 30
363 4995 33
3413 2285 28
4149 4487 66
3669 1264 39
4149 3589 22
727 2523 38
4995 4639 45
358 1549 43
1549 2966 84
3589 4798 15
358 4216 10
4562 1707 52
806 4956 47
3332 595 33
2523 3678 23
1549 79 27
806 4999 67
3413 2957 17
267 1210 3
595 111 37
4149 1022 88
214 3832 38
3332 4820 39
3688 3448 34
727 713 49
2779 345 18
1549 3165 71
3832 3004 21
595 4236 100
3636 951 83
111 3859 41
2779 1247 53
126 3528 79
3049 3051 56
2908 3930 91
4798 1874 92
2237 378 88
3636 1939 17
2966 3147 9
3147 1394 58
4216 2596 37
4999 1510 55
3332 825 38
358 237 16
1707 4079 36
3139 3815 59
1203 42 51
2327 2345 99
3165 531 64
1852 4455 50
1022 4106 6
111 3616 80
825 287 16
4639 4258 59
42 2564 53
595 4833 43
4798 4692 8
363 1370 27
4956 1840 20
378 4967 91
1210 3644 97
111 942 1
3051 2354 24
1852 4910 99
4910 2621 43
3165 2401 74
2288 279 84
3448 1642 12
2288 1978 74
1642 175 97
2621 4441 91
3996 4789 45
1210 1729 31
2523 4421 33
3636 892 63
3688 1574 63
2288 1565 90
2957 22 9
4830 1062 95
3413 1410 54
713 3529 43
2327 1220 99
3688 40 27
111 401 23
410 4932 76
2957 295 64
3678 4695 62
1220 369 37
1203 2860 83
3147 1307 83
4455 4600 1
2354 302 65
410 2128 97
2237 3600 2
2327 3010 81
531 4196 40
111 4249 21
4910 2668 73
1565 2071 76
175 1188 17
3688 1118 70
1118 3472 23
1370 3709 60
1394 1383 52
1939 1288 41
3930 3323 35
3669 3794 35
3930 2934 90
2128 178 39
1118 4673 25
2237 503 49
126 1197 54
1118 2895 85
2071 206 37
3051 1219 35
206 1788 47
1370 2257 31
279 2882 56
2594 526 75
3529 1017 54
3794 1548 28
4833 77 58
1978 3672 38
3413 305 10
4216 2292 41
4562 3429 99
3688 1123 35
4600 833 32
2237 1841 67
1840 1240 76
1978 603 79
40 3504 32
4020 4342 89
4967 3596 5
1118 1025 73
1370 1847 15
3794 1031 8
2128 3123 43
4149 3806 70
4600 3727 7
1939 844 77
3910 204 80
2345 2549 78
951 4591 49
1574 4531 65
206 2347 2
4967 4241 73
3123 3887 52
4487 3870 70
4798 2218 98
305 4699 15
4600 1832 37
2218 1912 50
1197 2986 26
126 191 10
2564 3694 72
2523 83 55
1574 2907 66
3616 885 4
4956 897 91
1840 4763 32
3589 4663 28
951 4329 93
1510 2603 98
3709 4416 97
2327 1460 75
214 3076 77
2237 1653 11
287 2859 55
3815 2482 64
4830 3361 43
1788 611 65
4149 2792 28
1383 3992 12
2523 3236 96
3910 3761 11
3472 4347 50
4999 1617 70
4216 4607 16
42 685 61
4673 3598 79
603 1786 3
204 3368 33
2237 4681 21
3368 217 81
4441 3495 35
4932 1730 4
3413 3063 95
305 3738 14
295 195 73
2128 3422 68
267 458 86
410 3651 68
4820 1803 36
4258 561 35
2237 1753 95
2523 506 83
217 4032 32
178 2258 87
3368 801 17
3870 2990 4
175 3668 77
4995 3760 21
206 1849 51
3815 3893 96
4347 1684 97
369 522 26
4932 2688 48
3076 2478 27
3859 1279 44
4910 3411 17
3589 3558 6
526 1391 49
4999 2266 50
1219 4782 64
4600 2088 73
83 3988 30
1912 3347 43
378 4119 29
2564 497 92
2401 3270 84
3368 4006 30
1548 1326 63
2088 783 65
3123 4023 8
4932 1949 18
4999 4389 47
4079 1110 68
3495 4274 38
3361 4865 23
1110 1625 1
1219 547 22
126 2936 13
1753 3781 24
1548 1165 31
3644 3259 82
1165 1487 34
2292 2378 22
561 3060 71
1031 655 56
2354 3396 21
195 4959 72
1118 4042 63
2327 234 94
3139 3292 31
595 2343 72
1247 3330 1
1247 1656 62
1370 51 91
3781 5 24
4236 3530 94
3870 4918 51
1110 3592 62
3422 1522 19
1565 1655 37
3996 2252 47
217 309 66
892 1966 30
4329 3205 57
1788 443 90
3592 995 82
611 3244 3
3330 2256 57
1642 18 75
3270 3797 81
1847 1605 67
2088 1758 26
1847 2299 6
885 1480 64
4639 297 76
4681 2040 56
2378 2091 9
897 1341 87
4216 482 48
3598 1790 49
1653 2861 30
1341 3952 51
3205 1745 2
611 2372 10
4600 4810 39
2549 618 31
2895 4938 29
295 534 68
727 744 63
1240 2096 97
3636 1604 73
1383 4889 61
1288 1198 90
1480 1505 19
3147 4152 61
4416 285 38
4956 4859 72
801 2493 49
443 3181 69
2128 1964 39
2256 3927 3
3727 2043 71
3910 3754 3
4196 1176 70
2478 1039 90
3859 1932 48
3495 3287 88
3669 1946 75
1978 71 43
3051 2557 38
611 1891 42
2088 3343 83
844 3923 100
2372 1292 5
1966 1976 25
744 47 49
3063 4332 82
345 4169 88
3530 3080 56
2401 490 85
2096 1721 1
4253 535 39
1565 4977 32
2088 3091 71
490 1136 29
4106 2923 9
3347 2788 81
2285 4375 39
3806 3991 13
4236 1099 56
3596 2729 39
2088 1384 65
2557 4754 1
1039 3054 22
2603 880 15
603 2221 69
3592 2626 79
3589 718 50
295 2591 70
4258 2752 49
1341 233 40
1786 1760 45
3147 4201 99
1625 2765 56
2603 2862 80
2237 679 70
1832 899 5
4329 864 16
1932 4970 9
1240 1649 64
503 3763 36
4149 2870 50
1849 3088 18
4416 1819 45
3270 3056 53
4600 1984 48
71 3486 13
3797 3455 36
942 2568 32
410 4929 59
71 3539 46
2040 239 14
305 4528 27
2668 4309 94
239 4647 6
844 403 13
3678 1089 29
4253 873 90
3651 524 88
3054 156 41
482 830 79
4216 4869 46
4329 2490 10
3244 4793 3
47 4581 39
51 3492 91
3930 243 89
4274 4450 4
4236 3189 10
2895 3970 34
1031 4814 36
1307 2655 85
285 3199 86
3165 593 69
4673 4669 72
1760 3075 8
1 1350 89
1549 2041 90
1932 598 17
2285 2080 40
3343 849 40
942 2051 100
655 1088 24
443 991 86
864 1215 16
4967 188 51
2490 2690 58
3970 3663 32
3952 4054 37
297 168 82
3429 1690 51
1758 2317 34
1505 2192 26
2688 4744 66
40 3699 32
4639 2472 83
3455 4092 1
4241 4935 18
1210 2220 8
4798 3030 34
1487 3632 45
880 3908 3
2779 1566 94
1736 2122 19
217 4135 23
4106 3624 41
4119 4056 33
4201 2770 52
1123 1040 71
3893 1227 13
849 4953 61
126 4396 66
951 3097 47
1605 1699 79
3189 1473 92
4196 508 41
3761 2973 83
4999 1814 93
3181 2304 37
522 4147 71
188 2429 84
18 4780 1
4600 4568 17
4639 1855 82
1203 1647 96
3181 400 32
2256 971 99
3992 3949 12
971 3107 94
2523 2667 70
295 4860 96
1487 2646 29
2257 738 56
1653 1258 33
2285 1871 24
2779 61 22
1326 471 89
3368 4185 3
1383 3371 73
3632 4231 21
2345 1296 16
3887 2913 67
3927 3266 32
358 72 98
3908 976 18
1391 4084 82
2490 4335 75
2861 1862 94
1625 1532 22
2372 2289 6
4231 2730 77
4147 2669 78
233 3984 100
3530 1104 71
4006 2207 33
4562 2295 82
3927 3787 87
4342 3121 4
4798 1467 24
3051 3403 34
738 3313 79
4820 2670 35
3760 1131 87
3455 1204 23
598 1950 8
1840 2666 15
4149 1972 65
4216 420 24
2596 439 28
5 4629 79
378 4001 21
1891 1618 42
233 1888 14
1617 54 99
2690 480 55
1532 1720 57
126 1611 67
2317 3379 53
4274 523 12
4681 3734 2
4135 2723 84
3761 1250 92
345 664 51
1874 4477 17
1123 3619 69
4477 1320 53
595 2697 92
2549 3160 60
358 4463 21
4780 4981 8
403 2061 8
2493 977 31
595 26 51
3596 1463 34
3651 4736 15
3165 662 99
4231 461 25
3123 758 45
4814 4197 5
2666 299 64
1966 249 1
1605 4947 7
3596 3579 83
4135 383 100
71 3534 60
3495 3369 31
3923 1692 3
345 4539 32
4673 3084 7
3893 3520 45
3520 862 48
1219 2498 90
2523 2092 50
3056 161 23
3369 3808 7
1203 4588 87
4149 3442 12
1758 1779 98
4967 793 51
3984 2701 51
534 1542 81
4106 3849 21
4236 4408 58
844 3264 71
4185 2052 77
1803 3468 90
302 1293 45
4539 1851 48
2594 3241 58
3988 2660 22
2080 928 19
4647 1637 16
77 4882 62
4869 4180 9
4231 1751 73
1840 563 43
1874 1796 48
897 4279 13
51 1778 45
3107 1723 14
4408 132 77
679 4864 54
1617 2629 68
3589 2142 87
3486 2021 85
3379 2364 33
279 2881 12
4581 1994 82
3442 807 57
4152 2946 84
369 335 48
3147 2529 15
2788 4117 28
4953 2699 52
4956 1750 16
1025 1909 94
3411 3092 29
3396 1746 48
4135 3953 19
2401 275 2
3808 3230 34
3403 938 39
4441 2300 95
1653 4107 97
2666 3696 93
1247 3478 74
1176 4589 66
2934 1129 66
1851 3955 7
2021 1274 90
547 627 13
807 2084 85
1656 4181 83
2372 960 82
1912 704 29
4681 432 43
4910 474 62
3734 587 96
1136 1880 93
2701 914 19
4042 4102 5
345 4382 66
4860 4644 48
3442 2967 100
287 2224 54
1522 1263 44
4180 4459 68
598 975 78
217 3150 36
1625 1352 6
1473 4660 53
217 3345 17
345 258 96
4588 4655 41
3709 4431 80
191 2584 61
2666 1482 16
2378 1432 96
2304 4178 62
3923 1244 32
758 4973 89
461 1282 20
358 501 81
3600 4885 1
4421 4469 95
2041 1895 100
2936 3962 3
4455 1253 48
1707 4715 87
618 4173 32
2122 413 67
3970 1503 61
4889 2503 62
2084 117 44
3598 916 4
2881 154 79
4864 4174 91
3955 1150 6
2347 4937 43
3787 3277 25
1964 4443 17
2523 459 70
2051 4963 30
951 4944 77
1264 3585 1
1611 2830 98
403 1064 59
3313 2430 84
1197 1465 56
2723 2029 37
4663 3393 12
1123 970 9
3632 2157 9
1088 1428 91
4963 2834 21
1611 4602 95
77 2202 27
156 3198 80
4441 390 6
1279 3036 52
4602 2160 21
3266 1744 73
1912 2047 56
2052 3261 3
234 2191 13
704 3868 13
1855 898 19
3323 4125 74
3091 1875 23
54 4727 31
3781 4223 71
217 1956 5
482 4457 66
897 4510 32
1760 4458 22
3849 4124 33
3198 2184 75
18 3677 38
2668 1685 15
1611 4321 42
4581 4632 39
237 155 63
1244 218 98
2779 2463 87
363 1538 96
285 4731 6
783 4324 69
3539 3222 6
1656 4341 18
4963 4346 55
4731 688 41
3198 834 65
4947 68 35
3534 125 59
2966 1155 58
4056 495 97
1505 2235 86
704 3074 57
1025 2104 99
4106 2389 75
1760 558 88
524 4320 40
1647 4511 66
4458 3137 73
4119 843 29
3859 4501 16
4119 966 56
3121 2110 50
3147 2634 24
2503 2261 93
287 425 24
335 4728 90
2830 891 12
1025 1302 45
4938 2741 78
3080 2076 33
432 2583 66
1862 1371 72
1994 4720 32
3763 3704 99
4810 3026 70
1909 1675 41
4223 3316 86
497 3892 87
1341 3282 59
42 3382 71
4382 2399 2
1394 2132 92
4450 1913 28
1684 3414 48
482 3548 8
4793 4711 85
126 636 86
1721 2955 31
1150 4917 65
4981 119 7
2788 957 53
1814 4851 95
3393 4367 2
154 4662 20
1165 2361 80
4092 447 45
4196 2355 39
2478 3503 76
4223 4480 2
2699 505 86
178 507 93
4135 2205 99
1250 246 24
410 2657 45
4562 4468 63
807 3611 63
1618 4842 20
2660 1472 75
960 3951 50
2080 4074 7
191 4623 98
4201 2344 26
4477 790 6
77 4437 39
68 1942 69
4511 3122 12
2788 1931 26
258 823 7
4324 1648 92
1909 3253 75
3063 1658 81
1250 199 78
3091 946 25
3411 3958 35
4981 3932 82
4119 2663 18
3137 3182 40
2343 254 75
1625 1550 27
161 1489 2
4001 1355 71
1966 3071 77
3962 4191 85
2252 4766 19
126 3721 54
4253 1808 46
928 565 56
3598 499 51
4727 3782 98
302 773 100
4763 588 57
1131 3438 36
3076 2814 66
3868 2921 75
977 597 95
2237 1000 99
4736 3487 27
4910 4211 63
461 3627 53
3596 84 80
4309 3929 67
1617 4097 30
2934 560 69
4977 1362 100
3806 3095 29
1292 4290 92
849 3340 98
4963 562 65
3558 4717 81
1730 2075 35
946 313 14
1288 2664 9
3411 3444 76
508 4545 87
3095 3481 77
305 3164 71
297 3120 15
2859 2466 96
3592 2239 91
125 1462 47
4332 4757 47
4607 3357 33
1025 3899 9
4793 158 55
849 89 54
3122 574 60
2317 48 59
2401 1774 73
4201 2764 36
3868 4826 36
3504 739 90
1240 357 50
1473 2766 96
3808 3567 23
3277 1968 96
4149 2348 79
1648 4911 72
2634 3191 78
1099 3719 93
275 3223 78
535 990 8
1522 2476 97
3899 2785 35
195 4307 62
499 2413 50
1467 2945 22
1542 1810 20
738 594 60
2466 1708 74
258 1426 90
2239 2684 52
636 3415 8
42 301 46
499 1593 66
2110 4287 77
1465 150 81
1653 1857 22
4178 3480 73
51 2904 44
1000 315 46
1462 3706 82
2235 622 32
3952 943 52
1258 3346 2
1708 3720 32
3107 1356 44
2834 771 12
4782 1400 11
1352 4990 57
1699 2174 57
2668 2286 63
3781 3476 33
285 181 80
1532 1012 39
3529 3353 96
1778 2889 54
1064 1214 12
275 4 32
3010 4491 67
1984 4212 83
3709 2892 11
2529 1772 79
2399 3697 56
4149 4787 77
526 2060 92
1648 3159 13
313 4902 57
960 4184 77
4787 4677 14
1039 4658 100
4999 3526 6
3487 3334 38
3596 1983 24
4539 2086 68
524 548 50
1978 3406 58
161 1702 63
369 4381 9
2670 4380 70
526 2484 23
4754 2992 63
1730 1046 70
1 1981 68
2476 525 77
2142 4877 79
4814 473 32
4117 1545 8
4715 1624 9
480 148 39
3526 2725 42
1745 855 83
1039 3011 74
4421 625 33
195 3451 32
4763 2025 32
3277 4072 16
363 1105 37
4236 4761 31
1110 2888 63
1341 2832 30
3486 151 19
1840 986 31
4335 2011 29
22 3511 77
3868 2440 77
3627 2633 24
4793 1513 85
4396 1726 8
4937 1528 89
1593 4897 15
119 1914 55
2870 2801 56
1356 2410 67
1880 4240 18
2071 3645 31
495 969 89
2295 1738 73
1197 4732 13
718 1825 18
1914 629 81
758 3537 40
125 3730 66
3480 4029 57
2892 4488 81
2399 829 27
1150 1540 93
54 4920 51
2730 1050 96
1738 4560 90
1851 1491 68
459 557 73
4342 963 24
2729 4913 5
1104 4781 53
1729 2808 4
2286 3886 66
1370 245 3
2075 1535 68
2668 3502 56
246 3508 82
1352 2120 58
3010 396 39
4125 1938 12
3253 1615 96
3923 4849 69
1938 4280 41
3191 837 74
560 32 66
1250 4551 14
4545 1693 95
849 4376 77
849 3187 5
3870 4579 57
4902 4112 42
4917 2332 58
4869 1052 61
2859 2994 38
2122 4165 53
89 2883 68
806 1056 72
1264 2210 32
234 4188 36
482 4294 97
1653 2526 76
2347 1537 18
245 1107 65
2086 724 10
3526 564 84
1814 4076 93
3107 945 45
1624 4969 2
833 177 84
4463 3471 77
4953 3772 58
297 1459 57
2389 1085 52
499 4819 3
383 4227 42
2882 691 57
3616 500 100
2889 2580 11
410 4239 58
2300 3758 87
3121 3871 75
420 2971 85
3539 1734 7
2629 978 2
1264 2804 56
2870 3183 81
1796 1512 9
1548 377 34
2723 20 51
383 514 90
525 3618 85
3721 3385 75
897 2297 99
629 1342 66
4715 755 36
2410 1979 85
1482 3574 63
410 1616 31
3579 4086 4
4147 1433 71
898 742 73
3147 4278 63
2071 3012 11
3567 1312 8
71 954 27
4510 1742 80
1040 3843 33
3340 4916 58
3199 2927 15
2021 765 45
1176 814 9
1946 1948 37
1264 1065 54
2052 3081 88
3706 3170 42
1742 108 78
204 1423 69
3849 1638 73
4902 1598 48
4826 3543 25
595 1086 7
254 4816 38
3962 171 95
420 4530 36
2120 2250 57
2955 4573 47
2401 1471 85
3579 2540 32
237 767 85
3455 1700 73
713 2251 60
1796 170 85
3198 1286 41
3480 172 67
3760 2782 85
4174 1276 31
4389 465 98
2667 2836 59
3927 2479 53
3927 4895 81
482 1959 47
1528 543 71
3361 654 93
4092 2544 21
2289 4543 29
1840 4059 25
3567 1378 49
4241 1524 14
4309 131 26
501 1973 32
3738 2710 91
4833 351 12
4865 735 7
1942 441 12
