1000 656
151 767 75
1 151 30
1 226 35
226 419 38
767 167 21
167 273 73
167 471 34
419 295 10
295 345 86
151 246 53
295 951 47
419 807 35
951 415 89
471 231 46
419 539 73
246 623 35
231 180 6
231 264 70
415 122 54
539 299 77
167 806 73
806 163 72
807 401 14
273 343 93
273 136 77
226 525 35
767 659 61
226 185 5
659 289 10
1 666 76
122 100 76
525 923 12
666 981 27
151 19 91
180 542 85
122 69 18
19 65 7
807 232 63
232 991 32
185 54 28
539 702 85
415 687 59
471 883 13
659 187 29
415 82 54
264 548 94
687 764 81
548 45 12
54 81 13
419 236 73
345 735 25
69 728 72
702 946 99
81 864 97
471 863 93
151 216 23
946 785 7
659 47 7
54 995 53
539 210 58
180 638 8
995 681 31
951 939 24
167 427 35
638 50 94
419 55 15
666 285 1
163 298 23
401 480 93
216 849 19
343 70 1
50 313 27
638 311 96
735 968 34
69 493 28
471 127 70
863 489 38
735 514 19
295 630 38
299 595 48
427 362 69
806 668 76
45 318 92
289 715 48
226 218 98
849 725 44
127 707 34
295 323 34
728 801 57
163 679 13
323 234 45
54 256 88
311 378 76
298 710 36
289 733 40
638 746 11
471 52 37
995 251 29
180 993 9
539 58 21
923 721 38
764 695 85
728 729 83
289 474 67
45 912 56
311 975 38
313 383 70
54 95 60
122 616 88
666 259 27
45 781 25
345 138 59
419 691 43
273 836 7
378 60 7
715 46 64
82 499 26
415 699 25
939 103 54
721 260 72
65 85 41
679 28 81
951 697 37
715 396 61
234 956 97
251 624 87
595 124 72
47 245 24
50 839 66
245 945 65
28 763 96
103 162 86
19 287 18
679 869 65
124 267 36
100 766 70
343 477 50
480 364 76
299 61 10
287 141 79
287 445 94
82 174 91
82 142 23
836 577 77
218 438 90
61 223 23
210 342 26
151 777 79
695 639 8
162 709 24
638 607 34
95 169 15
47 110 62
364 518 4
710 903 45
733 433 5
82 421 18
401 590 80
539 665 6
445 798 1
342 462 17
95 497 19
295 76 63
163 550 61
362 291 57
246 137 67
883 336 32
951 207 12
185 848 37
260 327 80
975 213 13
187 121 26
124 802 70
616 355 48
298 676 11
763 513 19
85 958 82
945 756 46
697 224 85
69 472 100
951 328 55
691 545 58
981 375 47
695 221 49
327 456 67
236 924 14
518 483 62
746 34 21
224 538 51
607 233 33
695 950 82
883 797 81
538 795 58
525 255 81
19 429 76
336 183 5
946 976 50
849 283 8
136 531 87
138 837 88
513 392 37
207 909 77
224 784 81
702 794 33
313 752 47
623 148 22
289 133 72
110 29 89
138 632 23
85 727 24
151 399 57
169 12 39
52 554 88
976 13 95
681 241 1
666 662 85
848 776 77
224 102 93
456 147 53
396 149 81
226 381 92
707 523 25
456 400 82
624 585 61
260 724 65
709 937 20
45 852 52
400 529 3
462 740 26
29 771 7
493 83 57
427 580 12
668 150 22
794 799 86
721 470 36
187 11 19
756 366 31
241 388 3
138 570 91
438 576 9
174 177 91
121 416 6
733 120 98
167 72 45
399 833 98
837 2 84
691 288 63
797 862 49
342 791 28
862 322 20
756 685 45
981 91 63
725 720 39
232 613 95
580 696 92
483 329 78
702 861 93
630 8 25
76 820 40
383 812 63
61 783 36
733 447 35
795 841 4
630 732 4
429 293 88
799 688 52
46 119 49
124 238 5
781 671 77
34 39 76
210 464 5
13 249 18
447 239 94
464 868 9
328 816 66
585 215 37
679 441 22
733 684 50
260 271 71
841 743 30
283 907 84
70 822 70
287 9 76
695 96 48
1 902 97
725 473 8
233 747 50
839 900 59
554 700 12
141 983 5
65 716 56
216 277 67
13 310 22
841 974 58
438 556 29
688 357 54
366 176 98
61 258 92
794 270 14
100 977 49
709 325 23
396 412 22
224 879 21
766 832 95
177 134 68
239 125 85
746 74 37
497 914 10
863 98 62
473 999 8
366 528 47
909 368 76
974 279 56
721 675 26
668 622 17
285 165 57
141 788 83
249 765 51
580 312 80
445 792 59
975 546 84
784 465 43
447 244 50
8 544 26
255 26 56
784 467 38
861 275 11
213 511 92
82 847 56
777 850 11
542 644 97
100 404 93
218 971 41
213 300 93
288 742 3
136 657 35
595 38 32
862 14 57
221 636 30
791 608 100
364 379 64
480 584 95
951 926 81
577 64 16
816 711 34
511 648 9
489 871 87
133 203 80
806 973 91
742 753 49
546 896 33
841 490 11
245 564 44
298 787 44
415 717 70
150 353 97
401 44 30
684 780 19
613 155 67
12 410 4
325 653 96
746 952 24
165 853 91
538 778 13
121 551 81
550 955 48
46 33 31
806 578 31
868 635 77
291 371 2
76 451 47
490 962 13
715 972 4
977 56 64
149 195 32
958 891 22
400 712 38
548 73 75
839 929 79
756 680 82
336 940 13
700 625 24
46 526 26
203 23 82
623 387 91
141 634 9
419 888 44
622 201 57
74 809 33
577 519 36
8 261 50
909 656 52
752 175 10
136 650 35
14 114 45
666 301 27
